Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
A173	k__Archaea (UID2)	207	149	107	39	105	5	0	0	0	76.13	2.65	0.00
A361	k__Archaea (UID2)	207	149	107	7	137	5	0	0	0	94.86	3.74	0.00
A381	k__Archaea (UID2)	207	149	107	26	116	6	1	0	0	82.24	5.61	0.00
A399	k__Archaea (UID2)	207	149	107	36	109	4	0	0	0	76.50	3.27	0.00
AB1215_1	k__Archaea (UID2)	207	149	107	51	91	7	0	0	0	66.03	5.61	0.00
AB3033_1	k__Archaea (UID2)	207	149	107	35	113	1	0	0	0	78.97	0.47	0.00
AB3033_2	k__Archaea (UID2)	207	149	107	8	135	5	1	0	0	93.46	4.67	0.00
ABR01	k__Archaea (UID2)	207	149	107	9	133	7	0	0	0	92.99	5.14	14.29
ABR02	k__Archaea (UID2)	207	149	107	24	120	5	0	0	0	81.78	3.27	40.00
ABR03	k__Archaea (UID2)	207	149	107	33	112	4	0	0	0	77.02	3.27	25.00
ABR04	k__Archaea (UID2)	207	149	107	17	125	7	0	0	0	85.98	4.67	28.57
ABR05	k__Archaea (UID2)	207	149	107	16	129	4	0	0	0	87.38	3.27	0.00
ABR06	k__Archaea (UID2)	207	149	107	17	128	4	0	0	0	86.45	2.34	0.00
ABR08	k__Archaea (UID2)	207	149	107	39	102	8	0	0	0	70.25	5.61	37.50
ABR09	k__Archaea (UID2)	207	149	107	65	83	1	0	0	0	53.67	0.07	0.00
ABR10	k__Archaea (UID2)	207	149	107	61	85	3	0	0	0	59.15	1.87	0.00
ABR11	k__Archaea (UID2)	207	149	107	24	120	4	1	0	0	82.87	5.14	28.57
ABR13	k__Archaea (UID2)	207	149	107	34	108	7	0	0	0	74.77	5.14	0.00
ABR14	k__Archaea (UID2)	207	149	107	34	105	10	0	0	0	72.90	5.82	40.00
ABR15	k__Archaea (UID2)	207	149	107	47	99	3	0	0	0	63.24	1.87	0.00
ABR16	k__Archaea (UID2)	207	149	107	8	136	5	0	0	0	93.46	3.27	20.00
AB_1215_Bin_10	k__Archaea (UID2)	207	149	107	21	119	9	0	0	0	84.11	7.48	11.11
AB_1215_Bin_101	k__Archaea (UID2)	207	149	107	21	119	9	0	0	0	83.34	7.48	11.11
AB_1215_Bin_128	k__Archaea (UID2)	207	149	107	14	128	6	1	0	0	87.85	6.07	0.00
AB_1215_Bin_151	k__Archaea (UID2)	207	149	107	59	83	5	2	0	0	60.46	7.79	27.27
AB_1215_Bin_22	k__Archaea (UID2)	207	149	107	65	80	3	1	0	0	51.10	3.74	50.00
AB_1215_Bin_32	k__Archaea (UID2)	207	149	107	19	124	6	0	0	0	85.67	2.96	50.00
AB_1215_Bin_94	k__Archaea (UID2)	207	149	107	39	107	3	0	0	0	69.55	2.34	0.00
AB_69_Bin_121	k__Archaea (UID2)	207	149	107	56	77	14	1	1	0	62.62	9.45	26.09
AB_69_Bin_161	k__Archaea (UID2)	207	149	107	55	83	11	0	0	0	59.75	6.22	81.82
AB_69_Bin_233	k__Archaea (UID2)	207	149	107	48	93	8	0	0	0	65.04	5.61	37.50
AB_69_Bin_241	k__Archaea (UID2)	207	149	107	18	126	5	0	0	0	87.54	4.21	20.00
AB_69_Bin_244	k__Archaea (UID2)	207	149	107	68	74	7	0	0	0	50.08	4.05	42.86
AB_69_Bin_72	k__Archaea (UID2)	207	149	107	67	74	7	1	0	0	57.86	7.01	30.00
AB_69_Bin_81	k__Archaea (UID2)	207	149	107	23	114	11	1	0	0	81.31	9.19	35.71
B11_G17	k__Archaea (UID2)	207	149	107	17	123	9	0	0	0	88.55	7.01	11.11
B13_G17	k__Archaea (UID2)	207	149	107	25	121	3	0	0	0	81.09	1.40	0.00
B16_G1	k__Archaea (UID2)	207	149	107	57	84	8	0	0	0	59.51	5.61	0.00
B20_G9	k__Archaea (UID2)	207	149	107	14	127	8	0	0	0	88.32	7.01	0.00
B32_G17	k__Archaea (UID2)	207	149	107	60	87	2	0	0	0	57.89	0.93	0.00
B34_G2	k__Archaea (UID2)	207	149	107	32	106	11	0	0	0	75.55	7.17	0.00
B36_G16	k__Archaea (UID2)	207	149	107	9	132	8	0	0	0	92.06	6.54	0.00
B37_G2	k__Archaea (UID2)	207	149	107	75	65	9	0	0	0	51.28	7.94	22.22
B44_G1	k__Archaea (UID2)	207	149	107	47	92	10	0	0	0	64.49	8.18	0.00
B4_G2	k__Archaea (UID2)	207	149	107	18	123	8	0	0	0	88.16	4.59	0.00
B62_G16	k__Archaea (UID2)	207	149	107	19	124	6	0	0	0	86.45	3.19	0.00
B6_G17	k__Archaea (UID2)	207	149	107	37	109	3	0	0	0	72.98	1.01	33.33
B77_G9	k__Archaea (UID2)	207	149	107	11	130	8	0	0	0	92.06	4.67	0.00
B7_G1	k__Archaea (UID2)	207	149	107	23	119	6	1	0	0	81.46	5.45	33.33
B7_G17	k__Archaea (UID2)	207	149	107	20	123	6	0	0	0	82.24	3.04	66.67
B90_G9	k__Archaea (UID2)	207	149	107	51	96	2	0	0	0	63.80	0.93	0.00
BHB10_26_Bin_164_clean	k__Archaea (UID2)	207	149	107	68	72	9	0	0	0	61.99	6.54	11.11
BHB10_26_Bin_165_clean	k__Archaea (UID2)	207	149	107	49	84	16	0	0	0	67.69	5.79	62.50
BHB10_26_Bin_277_clean	k__Archaea (UID2)	207	149	107	53	87	6	3	0	0	67.58	8.48	40.00
BHB10_26_Bin_319	k__Archaea (UID2)	207	149	107	15	126	7	1	0	0	88.71	6.85	20.00
BHB10_26_Bin_322	k__Archaea (UID2)	207	149	107	23	120	6	0	0	0	83.18	4.98	50.00
BHB10_26_Bin_338	k__Archaea (UID2)	207	149	107	47	97	5	0	0	0	72.24	3.74	40.00
BHB10_26_Bin_359	k__Archaea (UID2)	207	149	107	60	82	7	0	0	0	61.75	5.45	57.14
BHB10_26_Bin_38	k__Archaea (UID2)	207	149	107	78	65	6	0	0	0	50.58	4.05	0.00
BHB10_2_Bin_344	k__Archaea (UID2)	207	149	107	20	127	2	0	0	0	83.18	1.40	0.00
BHB10_38_Bin_122	k__Archaea (UID2)	207	149	107	55	90	3	1	0	0	60.08	3.27	0.00
BHB10_38_Bin_149	k__Archaea (UID2)	207	149	107	10	128	10	1	0	0	92.06	8.88	15.38
BHB10_38_Bin_151	k__Archaea (UID2)	207	149	107	71	76	0	2	0	0	50.08	3.74	16.67
BHB10_38_Bin_177	k__Archaea (UID2)	207	149	107	34	103	11	1	0	0	72.83	8.41	7.14
BHB10_38_Bin_224	k__Archaea (UID2)	207	149	107	14	124	11	0	0	0	89.72	7.24	45.45
BHB10_38_Bin_270	k__Archaea (UID2)	207	149	107	26	113	10	0	0	0	82.10	6.70	40.00
