user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
U1547B_3H_metabat.150	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	75.8	11	0.625473149384	N/A
U1546D_4H_metabat.41	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__	N/A	N/A	N/A	N/A	N/A	GCA_002762865.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp002762865	83.93	0.69	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	59.21	11	0.899650648311	N/A
U1547B_3H_concoct_147	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	61.65	11	0.578116958178	N/A
U1547B_4H_metabat.73_sub	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	66.28	11	0.537202324542	Genome has more than 13.1% of markers with multiple hits
U1546D_4H_concoct_32	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	42.64	11	0.846099390204	N/A
U1545C_4H_metabat.49	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ASMP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	Placement	taxonomic novelty determined using RED	N/A	52.07	11	0.862278739953	N/A
U1547B_4H_metabat.4	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ASMP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	Placement	taxonomic novelty determined using RED	N/A	57.44	11	0.861337516552	N/A
U1547B_3H_metabat.169	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__EX4484-31;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	51.0	11	0.761056245636	N/A
U1547B_4H_metabat.129	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__EX4484-31;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	50.55	11	0.760060991749	N/A
U1545C_4H_concoct_120	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	32.03	11	0.374299089333	N/A
