MAG	K00459	PF03060
Asgardarchaeia_AB1215_1	0	1
Asgardarchaeia_AB3033_1	0	1
Asgardarchaeia_AB3033_2	0	1
Asgardarchaeia_B16_G1	0	1
Asgardarchaeia_BHB10_38_Bin_177	0	0
Asgardarchaeia_Co_bin69	0	0
Asgardarchaeia_D4993_C5_H1_Bin_32_clean	0	0
Asgardarchaeia_D4993_C5_H3_Bin_486	0	1
Asgardarchaeia_D4993_C5_LG_Bin_231_clean	0	1
Asgardarchaeia_D4993_C5_LG_Bin_732	0	0
Asgardarchaeia_D4998_C1112_H2_Bin_52	0	1
Asgardarchaeia_D4998_C1112_H3_Bin_265	0	1
Asgardarchaeia_GCA_021160805_1_ASM2116080v1	0	1
Asgardarchaeia_GCA_021161985_1_ASM2116198v1	0	0
Asgardarchaeia_GCA_021162905_1_ASM2116290v1	0	1
Asgardarchaeia_M8_44_Bin_295	0	0
Atabeyarchaeia_FINAL_SR_VP_26_10_2019_2_100cm_Atabeya_2_FINAL	1	1
Atabeyarchaeia_GCA_019058495_1_ASM1905849v1	1	1
Atabeyarchaeia_GCA_019058575_1_ASM1905857v1	1	1
Atabeyarchaeia_SRVP18_trench_6_60cm_Atabeya_1_Complete_Final	1	1
Baldrarchaeia_D4993_C5_H3_Bin_603_clean	0	1
Baldrarchaeia_D4994_C39_H2_Bin_222	0	1
Baldrarchaeia_D4998_C1112_H2_Bin_232	1	1
Baldrarchaeia_D4998_C1112_H2_Bin_592_clean	0	0
Baldrarchaeia_D4998_C1112_H3_Bin_205	0	1
Baldrarchaeia_D4998_C1112_H3_Bin_60	1	1
Baldrarchaeia_GBS02	0	1
Baldrarchaeia_GBS03	1	1
Baldrarchaeia_GBS04	1	1
Baldrarchaeia_GCA_016840465_1_ASM1684046v1	1	1
Baldrarchaeia_GCA_016840485_1_ASM1684048v1	0	1
Baldrarchaeia_GCA_021158895_1_ASM2115889v1	0	0
Heimdallarchaeia_ABR14	0	1
Heimdallarchaeia_ABR16	0	1
