user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
A173	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Njordarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	60.54	11	0.75907	N/A
A361	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp029855935	GCA_029855935.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp029855935	100.0	1.0	GCA_029855935.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp029855935	100.0	1.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.32	11	N/A	N/A
A381	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__JALVPN01;s__JALVPN01 sp027031765	GCA_027031765.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__JALVPN01;s__JALVPN01 sp027031765	100.0	0.982	GCA_027031765.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__JALVPN01;s__JALVPN01 sp027031765	100.0	0.982	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.96	11	N/A	N/A
A399	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp029855925	GCA_029855925.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp029855925	100.0	0.997	GCA_029855925.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp029855925	100.0	0.997	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.94	11	N/A	N/A
AB1215_1	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__Asgardarchaeaceae;g__Asgardarchaeum;s__Asgardarchaeum abyssi	GCA_040225955.1	95.0	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__Asgardarchaeaceae;g__Asgardarchaeum;s__Asgardarchaeum abyssi	99.85	0.766	GCA_040225955.1	95.0	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__Asgardarchaeaceae;g__Asgardarchaeum;s__Asgardarchaeum abyssi	99.85	0.766	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	61.37	11	N/A	N/A
AB3033_1	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.4	11	0.59319	N/A
AB3033_2	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__Asgardarchaeaceae;g__Asgardarchaeum;s__Asgardarchaeum abyssi	GCA_040225955.1	95.0	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__Asgardarchaeaceae;g__Asgardarchaeum;s__Asgardarchaeum abyssi	100.0	0.998	GCA_040225955.1	95.0	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__Asgardarchaeaceae;g__Asgardarchaeum;s__Asgardarchaeum abyssi	100.0	0.998	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.96	11	N/A	N/A
ABR01	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__6H3-1;s__6H3-1 sp029856045	GCA_029856045.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__6H3-1;s__6H3-1 sp029856045	99.99	1.0	GCA_029856045.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__6H3-1;s__6H3-1 sp029856045	99.99	1.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__6H3-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019058015.1, s__6H3-1 sp019058015, 95.0, 91.59, 0.644; GCA_030606485.1, s__6H3-1 sp030606485, 95.11, 91.38, 0.648; GCA_019058135.1, s__6H3-1 sp019058135, 95.0, 91.38, 0.546	91.65	11	N/A	N/A
ABR02	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856105	GCA_029856105.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856105	100.0	1.0	GCA_029856105.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856105	100.0	1.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 91.8, 0.516; GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.62, 0.531; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 91.53, 0.604; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 91.12, 0.51; GCA_018238625.1, s__SOKP01 sp018238625, 95.0, 90.87, 0.57; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 90.62, 0.439	80.0	11	N/A	N/A
ABR03	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856085	GCA_029856085.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856085	100.0	0.998	GCA_029856085.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856085	100.0	0.998	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030603385.1, s__Loki-b32 sp030603385, 95.0, 94.34, 0.594; GCA_029856445.1, s__Loki-b32 sp029856445, 95.0, 84.45, 0.162	77.19	11	N/A	N/A
